area_type,location,society,total_sqft,bath,balcony,price,bhk
Super built-up  Area,6th Phase JP Nagar,HMinebo,1810.0,3.0,3.0,131.0,3.0
Super built-up  Area,6th Phase JP Nagar,NCierar,1515.0,2.0,2.0,135.0,3.0
Super built-up  Area,6th Phase JP Nagar,HMinebo,1192.0,2.0,3.0,75.0,2.0
Super built-up  Area,6th Phase JP Nagar,HMinebo,1280.0,2.0,1.0,88.0,2.0
Built-up  Area,7th Phase JP Nagar,Brnia G,1080.0,2.0,2.0,72.0,2.0
Super built-up  Area,7th Phase JP Nagar,BriumMi,1270.0,2.0,2.0,93.0,2.0
Built-up  Area,7th Phase JP Nagar,Brnia G,1420.0,2.0,1.0,100.0,3.0
Built-up  Area,7th Phase JP Nagar,Brngsal,1850.0,3.0,1.0,150.0,3.0
Built-up  Area,7th Phase JP Nagar,Eladero,1245.0,2.0,1.0,94.0,2.0
Super built-up  Area,7th Phase JP Nagar,BriumMi,1175.0,2.0,1.0,82.0,2.0
Super built-up  Area,7th Phase JP Nagar,Brnia G,1400.0,2.0,1.0,95.0,3.0
Super built-up  Area,7th Phase JP Nagar,Puarero,2225.0,3.0,1.0,160.0,3.0
Built-up  Area,7th Phase JP Nagar,Brnia G,1050.0,2.0,1.0,71.0,2.0
Built-up  Area,7th Phase JP Nagar,,918.0,2.0,1.0,50.49,2.0
Super built-up  Area,7th Phase JP Nagar,Brsiaen,1450.0,2.0,1.0,100.0,3.0
Super built-up  Area,7th Phase JP Nagar,Brnia G,1420.0,2.0,2.0,96.0,3.0
Super built-up  Area,7th Phase JP Nagar,Eladero,1680.0,3.0,2.0,120.0,3.0
Super built-up  Area,7th Phase JP Nagar,Brnia G,980.0,2.0,2.0,69.0,2.0
Super built-up  Area,7th Phase JP Nagar,Hiestre,1180.0,2.0,2.0,72.0,2.0
Built-up  Area,7th Phase JP Nagar,LencyRe,1050.0,2.0,1.0,57.0,3.0
Built-up  Area,7th Phase JP Nagar,Eladero,1400.0,3.0,1.0,115.0,3.0
Super built-up  Area,7th Phase JP Nagar,BriumMi,1270.0,2.0,1.0,83.0,2.0
Super built-up  Area,7th Phase JP Nagar,Puarero,2503.0,4.0,0.0,188.0,4.0
Super built-up  Area,7th Phase JP Nagar,BriumMi,2200.0,3.0,2.0,190.0,3.0
Super built-up  Area,7th Phase JP Nagar,JDensar,1250.0,3.0,2.0,65.0,3.0
Super built-up  Area,7th Phase JP Nagar,Eladero,1575.0,2.0,2.0,110.0,3.0
Super built-up  Area,7th Phase JP Nagar,Brngsal,1850.0,3.0,2.0,140.0,3.0
Built-up  Area,7th Phase JP Nagar,Eladero,1575.0,2.0,2.0,120.0,3.0
Super built-up  Area,7th Phase JP Nagar,Brngsal,1850.0,3.0,2.0,150.0,3.0
Super built-up  Area,7th Phase JP Nagar,Eladero,1680.0,3.0,2.0,120.0,3.0
Super built-up  Area,7th Phase JP Nagar,BriumMi,1175.0,2.0,2.0,82.5,2.0
Super built-up  Area,7th Phase JP Nagar,BriumMi,1215.0,2.0,2.0,90.0,2.0
Super built-up  Area,7th Phase JP Nagar,Brnia G,1050.0,2.0,1.0,75.0,2.0
Super built-up  Area,7th Phase JP Nagar,Axdam V,1300.0,3.0,2.0,89.13,3.0
Super built-up  Area,7th Phase JP Nagar,Brnia G,1130.0,2.0,2.0,73.0,2.0
Super built-up  Area,7th Phase JP Nagar,BriumMi,1450.0,3.0,2.0,100.0,3.0
Super built-up  Area,7th Phase JP Nagar,BriumMi,1275.0,2.0,1.0,87.0,2.0
Super built-up  Area,7th Phase JP Nagar,Eladero,1650.0,3.0,2.0,110.0,3.0
Built-up  Area,7th Phase JP Nagar,Eladero,1680.0,3.0,2.0,117.0,3.0
Super built-up  Area,7th Phase JP Nagar,Brngsal,1850.0,3.0,1.0,150.0,3.0
Super built-up  Area,7th Phase JP Nagar,Hiestre,1000.0,2.0,2.0,53.0,2.0
Super built-up  Area,7th Phase JP Nagar,Eladero,1680.0,3.0,2.0,125.0,3.0
Super built-up  Area,7th Phase JP Nagar,Eladero,1675.0,2.0,2.0,135.0,3.0
Super built-up  Area,7th Phase JP Nagar,Brngsal,1850.0,3.0,2.0,155.0,3.0
Built-up  Area,7th Phase JP Nagar,,1000.0,2.0,1.0,61.0,2.0
Super built-up  Area,7th Phase JP Nagar,Brnia G,1460.0,2.0,2.0,100.0,3.0
Super built-up  Area,7th Phase JP Nagar,Brnia G,1650.0,3.0,3.0,110.0,3.0
Super built-up  Area,7th Phase JP Nagar,Axdam V,1000.0,2.0,1.0,70.65,2.0
Super built-up  Area,7th Phase JP Nagar,Brnia G,1080.0,2.0,2.0,75.0,2.0
Super built-up  Area,7th Phase JP Nagar,Eladero,1680.0,3.0,3.0,125.0,3.0
Super built-up  Area,7th Phase JP Nagar,Brnia G,1460.0,2.0,1.0,97.0,3.0
Built-up  Area,7th Phase JP Nagar,,1120.0,2.0,2.0,65.0,2.0
Super built-up  Area,7th Phase JP Nagar,Panorse,1100.0,3.0,1.0,60.0,2.0
Super built-up  Area,7th Phase JP Nagar,Eladero,1790.0,3.0,3.0,120.0,3.0
Super built-up  Area,7th Phase JP Nagar,Eladero,1680.0,3.0,2.0,117.0,3.0
Super built-up  Area,7th Phase JP Nagar,Brnia G,1050.0,2.0,1.0,77.0,2.0
Super built-up  Area,7th Phase JP Nagar,Brnia G,1050.0,2.0,1.0,75.0,2.0
Super built-up  Area,7th Phase JP Nagar,Brnia G,1040.0,2.0,1.0,75.0,2.0
Super built-up  Area,7th Phase JP Nagar,Brnia G,1400.0,2.0,1.0,95.0,3.0
Super built-up  Area,7th Phase JP Nagar,BriumMi,1800.0,3.0,2.0,130.0,3.0
Super built-up  Area,7th Phase JP Nagar,Brnia G,1050.0,2.0,0.0,68.0,2.0
Built-up  Area,7th Phase JP Nagar,AiIIIpl,1000.0,2.0,2.0,60.0,2.0
Super built-up  Area,7th Phase JP Nagar,Eladero,1680.0,3.0,2.0,125.0,3.0
Super built-up  Area,7th Phase JP Nagar,Brnia G,1050.0,2.0,1.0,77.47,2.0
Super built-up  Area,7th Phase JP Nagar,BriumMi,1270.0,2.0,1.0,80.0,2.0
Super built-up  Area,7th Phase JP Nagar,Eladero,1680.0,3.0,2.0,122.0,3.0
Super built-up  Area,7th Phase JP Nagar,Brnia G,1130.0,2.0,2.0,85.0,2.0
Super built-up  Area,7th Phase JP Nagar,Eladero,1680.0,3.0,3.0,130.0,3.0
Built-up  Area,7th Phase JP Nagar,Brnia G,980.0,2.0,1.0,77.44,2.0
Super built-up  Area,7th Phase JP Nagar,Eladero,1680.0,3.0,2.0,112.0,3.0
Super built-up  Area,7th Phase JP Nagar,,2095.0,3.0,2.0,150.0,3.0
Super built-up  Area,7th Phase JP Nagar,Puarero,1976.0,3.0,1.0,145.0,3.0
Super built-up  Area,7th Phase JP Nagar,Eladero,1600.0,2.0,2.0,110.0,3.0
Super built-up  Area,7th Phase JP Nagar,Eladero,1765.0,3.0,2.0,118.0,3.0
Built-up  Area,7th Phase JP Nagar,,1275.0,2.0,2.0,88.0,3.0
Super built-up  Area,7th Phase JP Nagar,BriumMi,1450.0,2.0,1.0,102.0,3.0
Super built-up  Area,7th Phase JP Nagar,Eladero,1575.0,2.0,2.0,110.0,3.0
Built-up  Area,7th Phase JP Nagar,LencyRe,1075.0,2.0,1.0,57.0,3.0
Super built-up  Area,7th Phase JP Nagar,Brnia G,750.0,1.0,2.0,47.0,1.0
Plot  Area,7th Phase JP Nagar,,1000.0,1.0,1.0,60.0,1.0
Super built-up  Area,7th Phase JP Nagar,,1680.0,2.0,3.0,92.0,3.0
Super built-up  Area,7th Phase JP Nagar,Brnia G,1430.0,2.0,1.0,102.0,3.0
Super built-up  Area,7th Phase JP Nagar,Prhna S,1128.0,2.0,1.0,60.0,2.0
Super built-up  Area,7th Phase JP Nagar,,1420.0,3.0,2.0,90.0,3.0
Super built-up  Area,7th Phase JP Nagar,,1530.0,2.0,1.0,108.0,2.0
Super built-up  Area,8th Phase JP Nagar,Maian M,451.0,1.0,0.0,29.9,1.0
Super built-up  Area,8th Phase JP Nagar,i1rtsCo,871.0,2.0,2.0,55.0,2.0
Super built-up  Area,8th Phase JP Nagar,Maian M,500.0,1.0,1.0,31.0,1.0
Super built-up  Area,8th Phase JP Nagar,Maian M,500.0,1.0,1.0,30.0,1.0
Super built-up  Area,8th Phase JP Nagar,,1200.0,3.0,2.0,110.0,4.0
Super built-up  Area,8th Phase JP Nagar,GRhtsei,1504.0,2.0,2.0,83.0,3.0
Carpet  Area,8th Phase JP Nagar,Maian M,500.0,1.0,1.0,33.0,1.0
Super built-up  Area,8th Phase JP Nagar,URncysi,1160.0,2.0,1.0,95.0,2.0
Super built-up  Area,8th Phase JP Nagar,HMityld,1510.0,2.0,3.0,80.0,2.0
Super built-up  Area,8th Phase JP Nagar,Vaarech,1408.0,3.0,2.0,80.0,3.0
Super built-up  Area,9th Phase JP Nagar,Vasisvi,1100.0,2.0,1.0,65.0,2.0
Built-up  Area,9th Phase JP Nagar,ImiteEl,3500.0,4.0,,300.0,4.0
Built-up  Area,9th Phase JP Nagar,NaensGa,600.0,1.0,0.0,20.0,1.0
Super built-up  Area,9th Phase JP Nagar,Vasisvi,1079.0,2.0,1.0,60.0,2.0
Super built-up  Area,9th Phase JP Nagar,Vasisvi,1480.0,2.0,1.0,80.0,2.0
Plot  Area,9th Phase JP Nagar,,1200.0,2.0,0.0,80.0,2.0
Super built-up  Area,9th Phase JP Nagar,HMigond,1719.3,2.0,2.0,88.0,3.0
Super built-up  Area,9th Phase JP Nagar,Vasisvi,1522.0,3.0,2.0,90.0,3.0
Built-up  Area,9th Phase JP Nagar,ImiteEl,5000.0,4.0,,300.0,4.0
Super built-up  Area,AECS Layout,CMoryma,1199.0,2.0,2.0,65.0,2.0
Super built-up  Area,AECS Layout,CMhamai,1123.0,2.0,2.0,64.0,2.0
Super built-up  Area,AECS Layout,CMard B,1005.0,2.0,1.0,55.0,2.0
Super built-up  Area,Abbigere,,765.0,2.0,2.0,30.0,1.0
Super built-up  Area,Abbigere,DSestma,734.0,1.0,0.0,19.82,1.0
Built-up  Area,Akshaya Nagar,DLhtsnd,1662.0,3.0,3.0,85.1,3.0
Super built-up  Area,Akshaya Nagar,DLhtsnd,1897.0,3.0,2.0,120.0,3.0
Super built-up  Area,Akshaya Nagar,,1410.0,2.0,2.0,75.0,3.0
Super built-up  Area,Akshaya Nagar,,1360.0,2.0,2.0,85.0,3.0
Super built-up  Area,Akshaya Nagar,DLhtsnd,1410.0,2.0,2.0,80.0,3.0
Built-up  Area,Akshaya Nagar,DLhtsnd,1662.0,3.0,2.0,85.0,3.0
Plot  Area,Akshaya Nagar,,1080.0,4.0,1.0,75.0,4.0
Built-up  Area,Akshaya Nagar,DLhtsnd,1662.0,3.0,2.0,85.5,3.0
Built-up  Area,Akshaya Nagar,DLhtsnd,1666.0,3.0,,95.0,3.0
Super built-up  Area,Akshaya Nagar,DLhtsnd,1575.0,3.0,,90.0,3.0
Super built-up  Area,Akshaya Nagar,DLhtsnd,1430.0,2.0,2.0,75.0,3.0
Built-up  Area,Akshaya Nagar,DLhtsnd,1419.0,2.0,3.0,73.0,3.0
Super built-up  Area,Akshaya Nagar,Suiumy ,1092.0,2.0,1.0,60.0,2.0
Super built-up  Area,Akshaya Nagar,DLhtsnd,1884.0,3.0,3.0,98.0,3.0
Super built-up  Area,Akshaya Nagar,DLhtsnd,1265.0,2.0,3.0,67.0,2.0
Super built-up  Area,Akshaya Nagar,DLhtsnd,1662.0,3.0,,90.0,3.0
Super built-up  Area,Akshaya Nagar,DLhtsnd,1420.0,2.0,2.0,75.0,3.0
Super built-up  Area,Akshaya Nagar,DLhtsnd,1412.0,2.0,3.0,88.0,3.0
Built-up  Area,Akshaya Nagar,DLhtsnd,1434.0,3.0,3.0,84.0,3.0
Super built-up  Area,Akshaya Nagar,,1890.0,4.0,2.0,100.0,3.0
Super built-up  Area,Akshaya Nagar,DLhtsnd,1419.0,2.0,3.0,87.0,3.0
Super built-up  Area,Akshaya Nagar,,1820.0,4.0,2.0,95.0,3.0
Super built-up  Area,Akshaya Nagar,DLhtsnd,1896.0,3.0,2.0,102.0,3.0
Super built-up  Area,Akshaya Nagar,DLhtsnd,1225.0,2.0,0.0,68.0,2.0
Super built-up  Area,Akshaya Nagar,DLhtsnd,1421.0,2.0,2.0,73.0,3.0
Super built-up  Area,Ambalipura,SJarkte,1105.0,2.0,1.0,75.0,2.0
Super built-up  Area,Ambalipura,,1800.0,3.0,3.0,110.0,3.0
Built-up  Area,Ambalipura,SJodsed,1150.0,2.0,2.0,80.0,2.0
Super built-up  Area,Ambalipura,,1250.0,2.0,2.0,66.25,2.0
Super built-up  Area,Ambalipura,Dimes E,1332.0,2.0,1.0,79.0,2.0
Super built-up  Area,Ambalipura,SJarkte,1730.0,3.0,1.0,120.0,3.0
Built-up  Area,Ambalipura,AltesEs,3500.0,3.0,,198.0,3.0
Super built-up  Area,Ambalipura,,1230.0,2.0,2.0,66.25,2.0
Super built-up  Area,Ambalipura,SJodsed,1351.0,2.0,1.0,77.0,2.0
Built-up  Area,Ambalipura,,1817.0,3.0,3.0,102.0,3.0
Super built-up  Area,Ambalipura,Dimes E,1303.0,2.0,2.0,80.0,2.0
Super built-up  Area,Ambalipura,Dimes E,1607.0,2.0,2.0,112.0,3.0
Super built-up  Area,Ambalipura,,770.0,1.0,2.0,43.82,1.0
Super built-up  Area,Ambalipura,,1060.0,2.0,1.0,58.5,2.0
Built-up  Area,Ambalipura,,1650.0,3.0,3.0,100.0,3.0
Super built-up  Area,Ambalipura,Dimes E,1607.0,2.0,2.0,112.0,3.0
Super built-up  Area,Ambalipura,,1198.0,2.0,2.0,80.0,2.0
Super built-up  Area,Ambedkar Nagar,SoechHa,1935.0,4.0,2.0,130.0,3.0
Super built-up  Area,Ambedkar Nagar,SoechHa,1424.0,2.0,2.0,90.0,2.0
Super built-up  Area,Ambedkar Nagar,SoechHa,2225.0,4.0,2.0,169.0,3.0
Super built-up  Area,Ambedkar Nagar,,1862.0,3.0,2.0,120.0,3.0
Super built-up  Area,Ambedkar Nagar,SoechHa,1850.0,4.0,3.0,139.0,3.0
Super built-up  Area,Ambedkar Nagar,,1936.0,4.0,2.0,126.0,3.0
Super built-up  Area,Ambedkar Nagar,SoechHa,1862.0,3.0,2.0,119.0,3.0
Super built-up  Area,Ambedkar Nagar,SoechHa,1424.0,2.0,2.0,90.0,2.0
Super built-up  Area,Ambedkar Nagar,SoechHa,2150.0,4.0,2.0,125.0,3.0
Built-up  Area,Ambedkar Nagar,SoechHa,3530.0,4.0,2.0,290.0,4.0
Super built-up  Area,Ambedkar Nagar,,1856.0,3.0,1.0,120.0,3.0
Super built-up  Area,Ambedkar Nagar,SoechHa,1852.0,3.0,2.0,130.0,3.0
Super built-up  Area,Ambedkar Nagar,SoechHa,1850.0,4.0,2.0,120.0,3.0
Super built-up  Area,Ambedkar Nagar,SoechHa,1367.0,2.0,2.0,86.0,2.0
Plot  Area,Ambedkar Nagar,Thessrm,3565.0,4.0,3.0,255.0,4.0
Super built-up  Area,Ambedkar Nagar,SoechHa,1409.0,2.0,2.0,95.0,2.0
Super built-up  Area,Ambedkar Nagar,SoechHa,1950.0,4.0,2.0,120.0,3.0
Super built-up  Area,Ambedkar Nagar,SoechHa,1921.0,4.0,3.0,129.0,3.0
Super built-up  Area,Ambedkar Nagar,,1920.0,4.0,2.0,121.0,3.0
Super built-up  Area,Ambedkar Nagar,SoechHa,1935.0,4.0,2.0,125.0,3.0
Super built-up  Area,Ambedkar Nagar,SoechHa,1852.0,4.0,2.0,122.0,3.0
Super built-up  Area,Ambedkar Nagar,SoechHa,1950.0,4.0,2.0,120.0,3.0
Super built-up  Area,Ambedkar Nagar,SoechHa,1852.0,3.0,2.0,125.0,3.0
Super built-up  Area,Ambedkar Nagar,SoechHa,1850.0,4.0,2.0,121.0,3.0
Super built-up  Area,Ambedkar Nagar,SoechHa,1425.0,2.0,1.0,94.0,2.0
Built-up  Area,Ambedkar Nagar,SoechHa,2395.0,4.0,2.0,150.0,3.0
Built-up  Area,Amruthahalli,,1900.0,3.0,1.0,135.0,3.0
Carpet  Area,Amruthahalli,,900.0,2.0,1.0,60.0,2.0
Super built-up  Area,Amruthahalli,Prentra,1450.0,2.0,1.0,85.0,3.0
Super built-up  Area,Amruthahalli,,1250.0,2.0,2.0,79.0,2.0
Super built-up  Area,Amruthahalli,Veiewak,1202.0,2.0,1.0,65.0,2.0
Super built-up  Area,Amruthahalli,,1340.0,2.0,1.0,75.0,2.0
Super built-up  Area,Amruthahalli,,2650.0,4.0,0.0,175.0,3.0
Built-up  Area,Amruthahalli,Prentra,1450.0,2.0,1.0,90.0,3.0
Built-up  Area,Amruthahalli,Prowsi ,485.0,1.0,1.0,19.5,1.0
Plot  Area,Anandapura,,1000.0,2.0,1.0,55.0,2.0
Plot  Area,Anandapura,,1200.0,2.0,1.0,67.0,2.0
Plot  Area,Anandapura,,900.0,2.0,0.0,48.0,2.0
Plot  Area,Anandapura,,875.0,2.0,1.0,57.0,2.0
Plot  Area,Anandapura,,1200.0,2.0,0.0,66.0,3.0
Plot  Area,Anandapura,,1415.0,2.0,1.0,74.0,3.0
Super built-up  Area,Ananth Nagar,,500.0,1.0,1.0,14.0,1.0
Super built-up  Area,Ananth Nagar,,500.0,2.0,2.0,14.0,1.0
Super built-up  Area,Ananth Nagar,,500.0,1.0,1.0,14.0,1.0
Super built-up  Area,Ananth Nagar,,500.0,1.0,1.0,14.0,1.0
Super built-up  Area,Anekal,,600.0,1.0,1.0,16.5,1.0
Super built-up  Area,Anekal,,530.0,1.0,1.0,18.0,1.0
Built-up  Area,Anekal,,351.0,1.0,1.0,16.0,1.0
Built-up  Area,Anekal,,400.0,1.0,1.0,11.5,1.0
Super built-up  Area,Anekal,,456.0,1.0,1.0,15.0,1.0
Built-up  Area,Anekal,,420.0,1.0,1.0,12.5,1.0
Plot  Area,Anjanapura,,1500.0,3.0,1.0,121.0,3.0
Super built-up  Area,Ardendale,SoystAm,1750.0,3.0,2.0,100.0,3.0
Built-up  Area,Ardendale,AWharde,3198.0,4.0,3.0,200.0,4.0
Super built-up  Area,Ardendale,AWharde,2422.0,4.0,2.0,160.0,4.0
Super built-up  Area,Ardendale,SoystAm,1750.0,3.0,3.0,100.0,3.0
Plot  Area,Ardendale,Aling10,3200.0,4.0,1.0,205.0,4.0
Super built-up  Area,Ardendale,SoystAm,1728.0,3.0,2.0,95.0,3.0
Super built-up  Area,Ardendale,AWharde,2062.0,3.0,,140.0,4.0
Super built-up  Area,Ardendale,SoystAm,1732.46,3.0,2.0,92.0,3.0
Super built-up  Area,Ardendale,AWharde,2062.0,3.0,,150.0,4.0
Super built-up  Area,Ardendale,AWharde,1224.0,2.0,2.0,70.0,2.0
Super built-up  Area,Ardendale,SoystAm,1777.26,3.0,2.0,105.0,3.0
Super built-up  Area,Ardendale,AWharde,2062.0,3.0,,140.0,4.0
Super built-up  Area,Ardendale,AWharde,1224.0,2.0,2.0,67.0,2.0
Super built-up  Area,Ardendale,SoystAm,1723.0,3.0,2.0,95.0,3.0
Super built-up  Area,Ardendale,SoystAm,1777.26,3.0,2.0,92.0,3.0
Super built-up  Area,Arekere,,2060.0,3.0,2.0,140.0,3.0
Built-up  Area,Arekere,,1740.0,2.0,,95.0,3.0
Built-up  Area,Arekere,,600.0,1.0,1.0,28.0,1.0
Super built-up  Area,Arekere,RRnumn ,2072.0,3.0,2.0,108.0,3.0
Super built-up  Area,Arekere,Chiteny,900.0,2.0,3.0,50.0,2.0
Super built-up  Area,Attibele,Jae 1hu,450.0,1.0,1.0,11.0,1.0
Built-up  Area,Attibele,Jae 2hu,400.0,1.0,1.0,11.0,1.0
Built-up  Area,Attibele,Jae 1hu,400.0,1.0,1.0,12.0,1.0
Built-up  Area,Attibele,Jae 2hu,400.0,1.0,1.0,14.0,1.0
Super built-up  Area,Attibele,Jae 1hu,500.0,1.0,1.0,17.0,1.0
Built-up  Area,Attibele,Jae 1hu,395.0,1.0,1.0,10.25,1.0
Built-up  Area,Attibele,Jae 1hu,420.0,1.0,1.0,17.0,1.0
Built-up  Area,Attibele,Jae 1hu,418.0,1.0,1.0,12.0,1.0
Super built-up  Area,Attibele,Jae 1hu,400.0,1.0,1.0,10.0,1.0
Built-up  Area,Attibele,Jae 1hu,450.0,1.0,1.0,12.5,1.0
Super built-up  Area,Attibele,DSvar S,782.0,1.0,0.0,19.55,1.0
Built-up  Area,Attibele,Jae 2hu,400.0,1.0,1.0,11.5,1.0
Carpet  Area,Attibele,Jae 1hu,460.0,1.0,1.0,13.0,1.0
Super built-up  Area,Attibele,Jae 1hu,418.0,2.0,1.0,11.5,1.0
Super built-up  Area,Attibele,Jae 1hu,550.0,1.0,1.0,11.5,1.0
Built-up  Area,Attibele,,410.0,1.0,1.0,10.0,1.0
Super built-up  Area,Attibele,Jae 2hu,400.0,1.0,1.0,10.25,1.0
Plot  Area,Attibele,,1500.0,3.0,2.0,90.0,3.0
Built-up  Area,Attibele,Jae 1hu,520.0,1.0,1.0,15.0,1.0
Plot  Area,BEML Layout,,1196.0,3.0,1.0,150.0,4.0
Plot  Area,BEML Layout,,2400.0,4.0,1.0,225.0,5.0
Super built-up  Area,BEML Layout,,1194.0,2.0,1.0,65.0,2.0
Super built-up  Area,BEML Layout,,1200.0,2.0,2.0,67.0,2.0
Plot  Area,BEML Layout,,2400.0,2.0,1.0,228.0,2.0
Super built-up  Area,BEML Layout,,1194.0,2.0,1.0,65.0,2.0
Carpet  Area,BTM 2nd Stage,Jancyva,950.0,2.0,1.0,52.0,2.0
